id,title,description,link,image_link,availability,price,sale_price,brand,gtin,product_type,google_product_category
477/40,Victor Rock / Skirt (White),,https://www.onlinebadminton.co.uk/victor-rock-skirt-white-40?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/victor%20skirt%20white.png?v=1577309408,in stock,25.66 GBP,17.10 GBP,Victor,1000000008159,Clothing,
477/36,Victor Rock / Skirt (White),,https://www.onlinebadminton.co.uk/victor-rock-skirt-white-36?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/victor%20skirt%20white.png?v=1577309408,in stock,25.66 GBP,17.10 GBP,Victor,1000000008135,Clothing,
486/0/XL,Victor Short Function 4866 black,,https://www.onlinebadminton.co.uk/victor-short-function-4866-black-xl?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/victor%20short%20function%20black.png?v=1577309408,in stock,25.66 GBP,17.10 GBP,Victor,4005543486089,Clothing,
486/9/XL,Victor Short Function 4866 white,,https://www.onlinebadminton.co.uk/victor-short-function-4866-white-xl?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/victor%20short%20function%204866%20white.png?v=1577309408,in stock,25.66 GBP,17.10 GBP,Victor,4005543486980,Clothing,
486/9/L,Victor Short Function 4866 white,,https://www.onlinebadminton.co.uk/victor-short-function-4866-white-l?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/victor%20short%20function%204866%20white.png?v=1577309408,in stock,25.66 GBP,17.10 GBP,Victor,4005543486973,Clothing,
486/9/M,Victor Short Function 4866 white,,https://www.onlinebadminton.co.uk/victor-short-function-4866-white-m?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/victor%20short%20function%204866%20white.png?v=1577309408,in stock,25.66 GBP,17.10 GBP,Victor,4005543486966,Clothing,
301727/0008/8,FZ Forza Lixton Junior Pants,,https://www.onlinebadminton.co.uk/fz-forza-lixton-jr-8?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/lixton.png?v=1577309408,in stock,34.21 GBP,25.65 GBP,FZ Forza,5711308713992,Clothing,
8583/0008/L,FZ Forza Zari Skirt (Black),,https://www.onlinebadminton.co.uk/fz-forza-zari-0008-l?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/zarifekete%20uj.png?v=1577309408,in stock,34.21 GBP,25.65 GBP,FZ Forza,5700810644610,Clothing,
6146/34,Victor Polo Unisex 6146 green,,https://www.onlinebadminton.co.uk/victor-polo-unisex-6146-green-34?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/victor%206146.png?v=1577309408,in stock,29.94 GBP,17.10 GBP,Victor,1000000018516,Clothing,
302418/02144/2XL,FZ Forza Landers Mens Shorts (Green Gecko),,https://www.onlinebadminton.co.uk/fz-forza-landers-02144-2xl?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/fz%20landers%20zold.png?v=1577222526,in stock,23.95 GBP,17.95 GBP,FZ Forza,5711309117379,Clothing,
